id,tag,sistema,descripcion,ubicacion,especialidad,categoria,responsable,fecha_elevado,fecha_prog_cierre,fecha_real_cierre,estado,observaciones,referente_cierre
"52,16-PL-130105,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Completar diques y bermas,General,Piping (P),C,Construcciones,2026-07-13,2026-07-31,2026-07-31,CERRADO,Por Andres Gómez,"
"53,16-PL-130105,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Pendiente de colocaciòn de protección catódica definitiva.,General,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,Se cierra cuando se complete la instalación del sistema definitivo de proteccion catódica,Kinkuro"
"54,16-PL-130105,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Orden y limpieza.,General,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,PI-CE2 Revisar,Edgardo Soto"
"55,16-PL-0130101,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Detalle de pintura ,PI-CE1,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,Queda pendiente la ejecución de pintura,Sebastian Astorgas"
"56,16-PL-0130101,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Pendiente manteo de viachispa (Protección aislante),PI-CE1,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,Queda pendiente la ejecución de pintura y posterior manteo,Pintura: Sebastian Astorgas/ Manteo:Edgardo Soto"
"57,16-PL-0130131,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Pendiente manteo de viachispa (Protección aislante),Anexo Bin B,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,Queda pendiente la ejecución de pintura y posterior manteo,Pintura: Sebastian Astorgas/ Manteo:Edgardo Soto"
"58,16-PL-0130131,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Detalle de pintura ,Anexo Bin B,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,Queda pendiente la ejecución de pintura,Sebastian Astorgas"
"59,16-PL-0130132,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Detalle de pintura ,Anexo Bin B,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,Queda pendiente la ejecución de pintura,Sebastian Astorgas"
"60,STZZ-1301B,""AI71-11-01 / INSTALACIÓN DE SUPERFICIE AREA TRAMPAS BIN B / "
"STZZ-1301B TRAMPA RECEPTORA (16"""")"",Placa de identificación de equipo- Cambiar error en la codificación ,Anexo Bin B,Mecánica (M),C,Construcciones,2026-07-13,,,ABIERTO,Se solicitó al vendor el recambio de la nueva placa de identificación. A la espera de fecha de envío de la misma,FUTURA"
"61,STZZ-1301B,""AI71-11-01 / INSTALACIÓN DE SUPERFICIE AREA TRAMPAS BIN B / "
"STZZ-1301B TRAMPA RECEPTORA (16"""")"",Orden y limpieza del sector,Anexo Bin B,Mecánica (M),C,Construcciones,2026-07-13,,,ABIERTO,En proceso. Abierta zanja de drenajes.,"
"62,16-PL-01301,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Falta carteleria ,General,Piping (P),C,Construcciones,2026-07-13,,,ABIERTO,Se emitió compra de 1000 carteles con entragas parciales. En proceso,Juan Leguisamon / Sergio Molina"
"63,16-PL-01301,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Falta Diques ,General,Piping (P),C,Construcciones,2026-07-13,2026-07-31,2026-07-31,CERRADO,Por Andres Gómez,"
"64,16-PL-0130101,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Falta aislación ,PI-CE1,Piping (P),C,Construcciones,2026-07-14,,,ABIERTO,""29/07. Se contrato el servicio, a la espera del completamiento de pintura de las costuras"",Nicolas Murad/ Agustin Ferrari - Aislaciones del Valle"
"65,16-PL-0130102,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Falta aislación ,PI-CE1,Piping (P),C,Construcciones,2026-07-14,,,ABIERTO,""29/07. Se contrato el servicio, a la espera del completamiento de pintura de las costuras"",Nicolas Murad/ Agustin Ferrari - Aislaciones del Valle"
"66,16-PL-0130102,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Pisadera definitiva,PI-CE1,Piping (P),C,Construcciones,2026-07-14,,,ABIERTO,A definir responsable,"
"67,16-PL-0130131,""AI71-07-01: DUCTO TRONCAL DE BIN C A BIN B / TRONCAL (16"""")"",Falta aislación ,Anexo Bin B,Piping (P),C,Construcciones,2026-07-14,,,ABIERTO,""29/07. Se contrato el servicio, a la espera del completamiento de pintura de las costuras"",Nicolas Murad/ Agustin Ferrari - Aislaciones del Valle"
